7J0|Japan (Shin'etsu), Guest Operators
YU7 YT7|Serbia - Vojvodina
YZ7|Serbia - Vojvodina
4N7|Serbia - Vojvodina, Special Event Station
4O7|Serbia - Vojvodina, Special Event Station
YU8 YT8 YZ8|Yugoslavia, Kosovo
4N8 4O8|Yugoslavia, Kosovo, Special Event Station
YU8 YT8|Serbia - Kosovo
YZ8|Serbia - Kosovo
4N8|Serbia - Kosovo, Special Event Station
4O8|Serbia - Kosovo, Special Event Station
YU6 YT6 YU3 YT3 YZ3 YZ6 4N3 4N6 4O3 4O[6-9] 4O0|Montenegro
4O#|Montenegro
4O0 4O## 4O#%%%%|Montenegro, Special Event Station
YU6# YT6# YZ6#|Serbia and Montenegro, Special Event Station
Z6|Kosovo (provisional, counts as Serbia)
S5[0-9]%%%%|Slovenia, Special Station
H5|South Africa, Republic (Bantustan) of Bophutatswana
S4|South Africa, Republic (Bantustan) of Ciskei
S8|South Africa, Republic (Bantustan) of Transkei
T8|South Africa
V9 T4|South Africa, Republic (Bantustan) of Venda (Shumela Venda)
ZR1|South Africa, Western Cape, VHF only
ZR2|South Africa, Eastern Cape, VHF only
ZR3|South Africa, Northern Cape, VHF only
ZR4|South Africa, Free State, VHF only
ZR5|South Africa, Kwa Zulu Natal, VHF only
ZR6|South Africa, Gauteng, Mpumalanga, North-West & Northern Province (Limpopo), VHF only
ZS## ZT[0-69] ZT##|South Africa, Special Station
ZS0 ZS9 ZR9 ZR0 ZT9 ZT0 ZU9 ZU0|South Africa, Special or Contest Station
ZS1|South Africa, Western Cape
ZS2|South Africa, Eastern Cape
ZS3|South Africa, Northern Cape
ZS4|South Africa, Free State
ZS5|South Africa, Kwa Zulu Natal
ZS6|South Africa, Gauteng, Mpumalanga, North West & Northern Province (Limpopo)
ZU1|South Africa, Western Cape, Restricted Class
ZU2|South Africa, Eastern Cape, Restricted Class
ZU3|South Africa, Northern Cape, Restricted Class
ZU4|South Africa, Free State, Restricted Class
ZU5|South Africa, Kwa Zulu Natal, Restricted Class
ZU6|South Africa, Gauteng, Mpumalanga, North-West & Northern Province (Limpopo), Restricted Class
ZS2MI|Prince Edward & Marion Islands
ZS8|Prince Edward & Marion Islands
9M0 9M7|Spratly Islands
9W0 9W7|Spratly Islands, VHF Class
3B6[A-Z]|Agalega Island
3B7[A-Z]|St. Brandon (Cargados Carajos Shoals)
3B1|Mauritius
VQ8|Mauritius
EA0|Equatorial Guinea
3D2%%/R|Rotuma
3D2%%/C|Conway Reef (Ceva-I-Ra)
VR2|Fiji
ZD5|Swaziland
ZS7|Swaziland
3D6|Swaziland
3W XV|Vietnam, Hanoi
3W2 XV2|Vietnam, Ho Chi Minh City
3W3 XV3|Vietnam, Danang City (Central Vietnam)
3W9 XV9|Vietnam, Hanoi
4J0 4K0|Azerbaijan, Guest Operators
4J1 4K1 4J[A-Z] 4K[A-Z]|Azerbaijan, Special Station
4J2 4K2|Azerbaijan, Nakhchivan
4J2?[W-Z]% 4[J-K]2?[W-Z]%|Azerbaijan, Nakhchivan, Club Station
4J3 4K3|Azerbaijan, Nagorno Karabakh
4J3?[W-Z]% 4[J-K]3?[W-Z]%|Azerbaijan, Nagorno Karabakh, Club Station
4J[4-9]?[W-Z]% 4[J-K][4-9]?[W-Z]%|Azerbaijan, Baku, Club Station
4K9 4J[4-9] 4K[4-8]|Azerbaijan, Baku
UD RD UD6 RD6 UD# RD# UD[0-9][CDKN] RD[0-9][CDKN]|Azerbaijan
UD30|Azerbaijan, Special Station
UD#[CDKN] UK6[CDKN] E[KM-ORU-Z]6[CDKN]|Azerbaijan
R6[CDKN] U6[CDKN]|Azerbaijan
4[J-L]#[CDKN]|Azerbaijan
UD##|Azerbaijan, Special Station
UD850|Azerbaijan, Special Station, 850th Anniversary of Nezami Ganjavi
4L#[A-NPTUYZ]|Georgia
4L#O|Georgia, South Ossetia
4L#[Q-S]|Georgia, Adsharia, Batumi
4L#[V-X]|Georgia, Abkhasia, Sukhumi
UF RF UF6 RF6 UF# RF# UF[0-9][FOQV] RF[0-9][FOQV] 4L[0-9]F|Georgia
UF30|Georgia, Special Station
UK6[FOQV] 4[J-L][67][FOQV] E[KM-ORU-Z]6[FOQV]|Georgia
R6[FOQV] U6[FOQV]|Georgia
UF6V %%%/UF6V %%%%/UF6V %%%%%/UF6V %%%%%%/UF6V|Georgia, Abkhasia, Sukhumi (no DXCC credit!)
4P 4Q 4R|Sri Lanka (Ceylon), Special Station
4S7|Sri Lanka (Ceylon), General and Advanced Class
4S6|Sri Lanka (Ceylon), Novice Class A
4S5|Sri Lanka (Ceylon), Novice Class B
4S7%%G|Sri Lanka (Ceylon), Guest Operator
VS7|Ceylon
4X 4Z|Israel
4X## 4Z## 4X[2357890] 4Z6|Israel, Special or Contest Station
4X1 4Z1|Israel, Class A (Advanced)
4X4%% 4X5%% 4X6%% 4Z4%% 4Z5%%|Israel, Class B (General)
4Z7%%%|Israel, Class D (Technician)
4Z8|Israel, Guest Operators
4Z9[A-Z]%%|Israel, Class C (Novice)
4Z0 4Z2 4Z3|Israel, Vanity callsigns
E4 E4#|Palestine
5A0C|Lybia, Cyrenaica
5A0F|Lybia, Fezzan
5A0T|Lybia, Tripolitania
LI1 MD1 MI1 MO1 MT1|Libya East (Cyrenaique)
LI2 MD2 MI2 MO2 MT2|Libya Northwest (Tripoli)
T1 TR1|Libya Northwest (Tripoli)
MC1 MC2|Libya
MD7|Cyprus
P3[A-Z] H2[A-Z] C4[A-Z] P3[0-9] H2[0-9] C4[0-9]|Cyprus, Special or Contest Station
5B4 5B8|Cyprus
5B[0-35-79] 5B##|Cyprus, Special Station
5H0|Tanzania, Dodoma, Singida
5H1|Tanzania, Zanzibar, Pemba Isl.
5H2|Tanzania, Arusha, Kilimanjaro, Tanga
5H3|Tanzania, Coast, Dar Es Salaam (incl. Mafia Island)
5H4|Tanzania, Morogoro
5H5|Tanzania, Lindi, Mtwara, Ruvuma
5H6|Tanzania, Iringa
5H7|Tanzania, Mbeya
5H8|Tanzania, Kigoma, Rukwa, Tabora
5H9|Tanzania, Kagera, Mwanza, Mara, Shinyanga (incl Ukerewe Is.)
5I0|Tanzania, Dodoma, Singida, Special Station
5I1|Tanzania, Zanzibar, Pemba Isl., Special Station
5I2|Tanzania, Arusha, Kilimanjaro, Tanga, Special Station
5I3|Tanzania, Coast, Dar Es Salaam (incl. Mafia Island), Special Station
5I4|Tanzania, Morogoro, Special Station
5I5|Tanzania, Lindi, Mtwara, Ruvuma, Special Station
5I6|Tanzania, Iringa, Special Station
5I7|Tanzania, Mbeya, Special Station
5I8|Tanzania, Kigoma, Rukwa, Tabora, Special Station
5I9|Tanzania, Kagera, Mwanza, Mara, Shinyanga (incl Ukerewe Is.), Special Station
VQ3|Tanganyika
5N0|Nigeria, Lagos, Abuja
5N1|Nigeria, Ogun, Oyo, Osun
5N2|Nigeria, Kwara, Niger, Kogi
5N3|Nigeria, Ondo, Edo, Ekiti, Bendel, Delta
5N4|Nigeria, Anambra, Rivers, Bayelsa, Enugu, Ebonyi, Abia
5N5|Nigeria, Imo, Cross River, Akwa-Ibom
5N6|Nigeria, Benue, Plateau, Nassarawa, Taraba
5N7|Nigeria, Gongola, Bauchi, Adamawa
5N8|Nigeria, Kano, Borno, Jigawa, Yobe
5N9|Nigeria, Kaduna, Sokoto, Kebbi, Katsina, Zamfara
5O0|Nigeria, Lagos, Abuja, Special Station
5O1|Nigeria, Ogun, Oyo, Osun, Special Station
5O2|Nigeria, Kwara, Niger, Kogi, Special Station
5O3|Nigeria, Ondo, Edo, Ekiti, Bendel, Delta, Special Station
5O4|Nigeria, Anambra, Rivers, Bayelsa, Enugu, Ebonyi, Abia, Special Station
5O5|Nigeria, Imo, Cross River, Akwa-Ibom, Special Station
5O6|Nigeria, Benue, Plateau, Nassarawa, Taraba, Special Station
5O7|Nigeria, Gongola, Bauchi, Adamawa, Special Station
5O8|Nigeria, Kano, Borno, Jigawa, Yobe, Special Station
5O9|Nigeria, Kaduna, Sokoto, Kebbi, Katsina, Zamfara, Special Station
5N##|Nigeria, Special Station
ZD2|Nigeria
FB8[A-V]|Madagascar
5R 5S 6X|Madagascar
FD8 FD[348]|French Togoland
5W0|Western Samoa, Guest Operators
ZM6|Samoa
ZM6|Western Samoa
VQ5|Uganda
VQ4|Kenya
5Z4|Kenya
5Y4 5Y[0-35-9] 5Z[0-35-9]|Kenya, Special Event Station
6W0|Senegal, Kolda
6W1|Senegal, Dakar
6W2|Senegal, Ziguinchor
6W3|Senegal, Djourbel
6W4|Senegal, Saint Louis
6W5|Senegal, Tambacounda
6W6|Senegal, Kaolack
6W7|Senegal, Thies (Somone)
6W8|Senegal, Louga
6W9|Senegal, Fatick
6V0|Senegal, Kolda, Special or Contest Station
6V1|Senegal, Dakar, Special or Contest Station
6V2|Senegal, Ziguinchor, Special or Contest Station
6V3|Senegal, Radio Test Station
6V4|Senegal, Saint Louis, Special or Contest Station
6V5|Senegal, Tambacounda, Special or Contest Station
6V6|Senegal, Kaolack, Special or Contest Station
6V7|Senegal, Thies (Somone), Special or Contest Station
6V8|Senegal, Louga, Special or Contest Station
6V9|Senegal, Fatick, Special or Contest Station
6Y5|Jamaica
6Y[0-46-9]% 6Y[0-46-9]%%|Jamaica, Special or Contest Station
ZS8|Lesotho (Basutoland)
7P 7P8|Lesotho (Basutoland)
ZD6|Nyasaland (Malawi)
7X0|Algeria, Guest Operators
7X2|Algeria, North - Algiers, Tizi Ouzou
7X3|Algeria, South - Saoura Bechar
7X4|Algeria, West - Tlemcen
7X5|Algeria, East - Setif
7X6|Algeria, Experimental Station
7X[17-9] 7[RT-WY][17-9]|Algeria, Special Station
7[RT-WY]0|Algeria, Guest Operators, Special Operation
7[RT-WY]2|Algeria, Algiers, Tizi Ouzou, Special Station
7[RT-WY]3|Algeria, Saoura Bechar, Special Station
7[RT-WY]4|Algeria, Tlemcen, Special Station
7[RT-WY][5-9]|Algeria, Setif, Special Station
FA|Algeria
VP6|Barbados
8R1|Guyana, Demerara
8R2|Guyana, Berbice
8R3|Guyana, Essequibo
VP3|British Guyana
9A##|Croatia, Special Station
9G5|Ghana, Guest Operators
9H0 9H##|Malta, Special Station
9H3|Malta, Guest Operators
9H4|Malta, Gozo Island
9H5|Malta, VHF Class
ZB1|Malta
VQ2|Northern Rhodesia
9K2|Kuwait
9K[013-9] 9K##|Kuwait, Special or Contest Station
9K[013-9]NLD 9K##NLD|Kuwait, Special Station, National and Liberation Day
9L1|Sierra Leone, Western Area
9L2|Sierra Leone, Northern Province
9L3|Sierra Leone, Southern Province
9L4|Sierra Leone, Eastern Province
9L5 9L[06-9] 9L##|Sierra Leone, Special Station
ZD1|Sierra Leone
9I 9J[013-9] 9J##|Zambia, Special Station
9M1CS[A-PRT-Z]|West Malaysia, 100th Anniversary of Scouting
9M2|West Malaysia
9W2 9W4|West Malaysia, VHF Class
9M3 9M4 9M5 9M[1-5]# 9W3 9W4 9W5 9W[1-5]#|West Malaysia, Special Station
9M6[A-Z]|East Malaysia, Sabah
9M8[A-Z]|East Malaysia, Sarawak
9M9[A-Z]|East Malaysia, Guest Operators
9W6[A-Z]|East Malaysia, Sabah, VHF Class
9W8[A-Z]|East Malaysia, Sarawak, VHF Class
9W9[A-Z]|East Malaysia, Guest Operators, VHF Class
9N7|Nepal, Guest Operators
9O0 9P0 9Q0 9R0 9S0 9T0|Democratic Republic of the Congo, Special Station
9Q1|Democratic Republic of the Congo, Kinshasa
9Q2|Democratic Republic of the Congo, Bas Congo
9Q3|Democratic Republic of the Congo, Bandundu
9Q4|Democratic Republic of the Congo, Equateur
9Q5|Democratic Republic of the Congo, Province orientale
9Q6|Democratic Republic of the Congo, North Kivu South Kivu Maniema
9Q7|Democratic Republic of the Congo, Katanga
9Q8|Democratic Republic of the Congo, Oriental Kasai
9Q9|Democratic Republic of the Congo, Occidental Kasai
9O1 9P1 9R1 9S1 9T1|Democratic Republic of the Congo, Kinshasa, Special Station
9O2 9P2 9R2 9S2 9T2|Democratic Republic of the Congo, Bas Congo, Special Station
9O3 9P3 9R3 9S3 9T3|Democratic Republic of the Congo, Bandundu, Special Station
9O4 9P4 9R4 9S4 9T4|Democratic Republic of the Congo, Equateur, Special Station
9O5 9P5 9R5 9S5 9T5|Democratic Republic of the Congo, Province orientale, Special Station
9O6 9P6 9R6 9S6 9T6|Democratic Republic of the Congo, North Kivu South Kivu Maniema, Special Station
9O7 9P7 9R7 9S7 9T7|Democratic Republic of the Congo, Katanga, Special Station
9O8 9P8 9R8 9S8 9T8|Democratic Republic of the Congo, Oriental Kasai, Special Station
9O9 9P9 9R9 9S9 9T9|Democratic Republic of the Congo, Occidental Kasai, Special Station
OQ|Belgian Congo
VS1|Singapore
9V S6|Singapore Malaya
9V1|Singapore
9V[2-90] S6|Singapore, Special Station
9Y 9Z|Trinidad & Tobago
9Y[01-35-9] 9Z[01-35-9]|Trinidad & Tobago, Special Station
9Y4|Trinidad & Tobago, Amateur Radio Grade 1 Licence
9Z4|Trinidad & Tobago, Amateur Radio Grade 2 Licence
VP4|Trinidad & Tobago
A22 A2|Botswana (Bechuanaland)
A25|Botswana (Bechuanaland), Guest Operators
8O|Botswana (Bechuanaland), Special Station
ZS9|Bechuanaland
A35|Tonga
A31|Tonga, Guest Operators
VR5|Tonga
A45|Oman, Guest Operators
MP4M|Oman
VS9O|Oman
7O6|Yemen, Socotra (Suqutra)
A51|Bhutan, General Class
A52|Bhutan, Guest Operators
A60 A6[2346-9]|United Arab Emirates, Special Event Station
A65|United Arab Emirates, Guest Operators
AC5|Bhutan
MP4D MP4T|Trucial Oman
MP4Q|Qatar
MP4B|Bahrain
C1|China, Kiangsu
C2|China, Zhe Jiang (Hangzhou City), An Hui (Hefei City), Hu Bei (Wuhan City)
C3|China, Guang Xi (Nanning City), Guandong, Taiwan
C4|China, Jiang Xi (Nanchang City), Hu Nan (Changsha City), Gui Zhou (Guiyang City), Yun Nan (Kunming City)
C5|China, Si Chuan (Chengdu City), Xizang, Tibet, Xinjiang
C6|China, Shantong, He Nan (Zhengzhou City), Shenxi
C7|China, Shanxi, Hei Bei (Shijiazhuang City), Pekin, Suiyuen, Jehol
C8|China, Qing Hai (Xining City), Ningxia, Gan Su (Lanzhou City), Mongolie
C9|China, Liao Ning (Shenyang City), Ji Lin (Changchun City), Hei Long Jiang (Harbin City)
AC4|China, Xi Zang (Tibet - Lhasa City)
XU|China
B[A-LRS-Z]0|China, Xin Jiang (Urumqi City)
B[A-LRS-Z]1|China, Beijing
B[A-LRS-Z]2|China, Hei Long Jiang (Harbin City)
B[A-LRS-Z]3|China, Tian Jin (Tian Jin City)
B[A-LRS-Z]4|China, Shang Hai (Shang Hai City)
B[A-LRS-Z]5|China, Zhe Jiang (Hangzhou City)
B[A-LRS-Z]6|China, An Hui (Hefei City)
B[A-LRS-Z]7|China, Hu Nan (Changsha City)
B[A-LRS-Z]8|China, Si Chuan (Chengdu City)
B[A-LRS-Z]9|China, Qhaan Xi (Xian City)
B## B[A-LRSTYZ]##|China, Special Station
BA0[A-F]% BA0[A-F]%%|China, Xin Jiang (Urumqi City), 1st. Class
BA0[G-L]% BA0[G-L]%%|China, Xi Zang (Tibet - Lhasa City), 1st. Class
BA1%% BA1%%%|China, Beijing, 1st. Class
BA2[A-H]% BA2[A-H]%%|China, Hei Long Jiang (Harbin City), 1st. Class
BA2[I-P]% BA2[I-P]%%|China, Ji Lin (Changchun City), 1st. Class
BA2[Q-X]% BA2[Q-X]%%|China, Liao Ning (Shenyang City), 1st. Class
BA3[A-F]% BA3[A-F]%%|China, Tian Jin (Tian Jin City), 1st. Class
BA3[G-L]% BA3[G-L]%%|China, Nei Mongol (Hobbot City), 1st. Class
BA3[M-R]% BA3[M-R]%%|China, Hei Bei (Shijiazhuang City), 1st. Class
BA3[S-X]% BA3[S-X]%%|China, Shan Xi (Taiyuan City), 1st. Class
BA4[A-H]% BA4[A-H]%%|China, Shang Hai (Shang Hai City), 1st. Class
BA4[I-P]% BA4[I-P]%%|China, Shan Dong (Jinan City), 1st. Class
BA4[Q-X]% BA4[Q-X]%%|China, Jiang Su (Nanjing City), 1st. Class
BA5[A-H]% BA5[A-H]%%|China, Zhe Jiang (Hangzhou City), 1st. Class
BA5[I-P]% BA5[I-P]%%|China, Jiang Xi (Nanchang City), 1st. Class
BA5[Q-X]% BA5[Q-X]%%|China, Fu Jian (Fuzhou City), 1st. Class
BA6[A-H]% BA6[A-H]%%|China, An Hui (Hefei City), 1st. Class
BA6[I-P]% BA6[I-P]%%|China, He Nan (Zhengzhou City), 1st. Class
BA6[Q-X]% BA6[Q-X]%%|China, Hu Bei (Wuhan City), 1st. Class
BA7[A-H]% BA7[A-H]%%|China, Hu Nan (Changsha City), 1st. Class
BA7[I-P]% BA7[I-P]%%|China, Guang Dong (Canton City), 1st. Class
BA7[Q-X]% BA7[Q-X]%%|China, Guang Xi (Nanning City), 1st. Class
BA7[Y-Z]% BA7[Y-Z]%%|China, Hei Nan (Haikou City), 1st. Class
BA8[A-F]% BA8[A-F]%%|China, Si Chuan (Chengdu City), 1st. Class
BA8[G-L]% BA8[G-L]%%|China, Chong Qing (Chong Qing City), 1st. Class
BA8[M-R]% BA8[M-R]%%|China, Gui Zhou (Guiyang City), 1st. Class
BA8[S-X]% BA8[S-X]%%|China, Yun Nan (Kunming City), 1st. Class
BA9[A-F]% BA9[A-F]%%|China, Qhaan Xi (Xian City), 1st. Class
BA9[G-L]% BA9[G-L]%%|China, Gan Su (Lanzhou City), 1st. Class
BA9[M-R]% BA9[M-R]%%|China, Ning Xia (Yinchuan City), 1st. Class
BA9[S-X]% BA9[S-X]%%|China, Qing Hai (Xining City), 1st. Class
BD0[A-F]%|China, Xin Jiang (Urumqi City), 2nd. Class
BD0[G-L]%|China, Xi Zang (Tibet - Lhasa City), 2nd. Class
BD1|China, Beijing, 2nd. Class
BD2[A-H]|China, Hei Long Jiang (Harbin City), 2nd. Class
BD2[I-P]|China, Ji Lin (Changchun City), 2nd. Class
BD2[Q-X]|China, Liao Ning (Shenyang City), 2nd. Class
BD3[A-F]|China, Tian Jin (Tian Jin City), 2nd. Class
BD3[G-L]|China, Nei Mongol (Hobbot City), 2nd. Class
BD3[M-R]|China, Hei Bei (Shijiazhuang City), 2nd. Class
BD3[S-X]|China, Shan Xi (Taiyuan City), 2nd. Class
BD4[A-H]|China, Shang Hai (Shang Hai City), 2nd. Class
BD4[I-P]|China, Shan Dong (Jinan City), 2nd. Class
BD4[Q-X]|China, Jiang Su (Nanjing City), 2nd. Class
BD5[A-H]|China, Zhe Jiang (Hangzhou City), 2nd. Class
BD5[I-P]|China, Jiang Xi (Nanchang City), 2nd. Class
BD5[Q-X]|China, Fu Jian (Fuzhou City), 2nd. Class
BD6[A-H]|China, An Hui (Hefei City), 2nd. Class
BD6[I-P]|China, He Nan (Zhengzhou City), 2nd. Class
BD6[Q-X]|China, Hu Bei (Wuhan City), 2nd. Class
BD7[A-H]|China, Hu Nan (Changsha City), 2nd. Class
BD7[I-P]|China, Guang Dong (Canton City), 2nd. Class
BD7[Q-X]|China, Guang Xi (Nanning City), 2nd. Class
BD7[Y-Z]|China, Hei Nan (Haikou City) 2nd. Class
BD8[A-F]|China, Si Chuan (Chengdu City), 2nd. Class
BD8[G-L]|China, Chong Qing (Chong Qing City), 2nd. Class
BD8[M-R]|China, Gui Zhou (Guiyang City), 2nd. Class
BD8[S-X]|China, Yun Nan (Kunming City), 2nd. Class
BD9[A-F]|China, Qhaan Xi (Xian City), 2nd. Class
BD9[G-L]|China, Gan Su (Lanzhou City), 2nd. Class
BD9[M-R]|China, Ning Xia (Yinchuan City), 2nd. Class
BD9[S-X]|China, Qing Hai (Xining City), 2nd. Class
BG0[A-F]|China, Xin Jiang (Urumqi City), 3rd. Class
BG0[G-L]|China, Xi Zang (Tibet - Lhasa City), 3rd. Class
BG1|China, Beijing, 3rd. Class
BG2[A-H]|China, Hei Long Jiang (Harbin City), 3rd. Class
BG2[I-P]|China, Ji Lin (Changchun City), 3rd. Class
BG2[Q-X]|China, Liao Ning (Shenyang City), 3rd. Class
BG3[A-F]|China, Tian Jin (Tian Jin City), 3rd. Class
BG3[G-L]|China, Nei Mongol (Hobbot City), 3rd. Class
BG3[M-R]|China, Hei Bei (Shijiazhuang City), 3rd. Class
BG3[S-X]|China, Shan Xi (Taiyuan City), 3rd. Class
BG4[A-H]|China, Shang Hai (Shang Hai City), 3rd. Class
BG4[I-P]|China, Shan Dong (Jinan City), 3rd. Class
BG4[Q-X]|China, Jiang Su (Nanjing City), 3rd. Class
BG5[A-H]|China, Zhe Jiang (Hangzhou City), 3rd. Class
BG5[I-P]|China, Jiang Xi (Nanchang City), 3rd. Class
BG5[Q-X]|China, Fu Jian (Fuzhou City), 3rd. Class
BG6[A-H]|China, An Hui (Hefei City), 3rd. Class
BG6[I-P]|China, He Nan (Zhengzhou City), 3rd. Class
BG6[Q-X]|China, Hu Bei (Wuhan City), 3rd. Class
BG7[A-H]|China, Hu Nan (Changsha City), 3rd. Class
BG7[I-P]|China, Guang Dong (Canton City), 3rd. Class
BG7[Q-X]|China, Guang Xi (Nanning City), 3rd. Class
BG7[Y-Z]|China, Hei Nan (Haikou City) 3rd. Class
BG8[A-F]|China, Si Chuan (Chengdu City), 3rd. Class
BG8[G-L]|China, Chong Qing (Chong Qing City), 3rd. Class
BG8[M-R]|China, Gui Zhou (Guiyang City), 3rd. Class
BG8[S-X]|China, Yun Nan (Kunming City), 3rd. Class
BG9[A-F]|China, Qhaan Xi (Xian City), 3rd. Class
BG9[G-L]|China, Gan Su (Lanzhou City), 3rd. Class
BG9[M-R]|China, Ning Xia (Yinchuan City), 3rd. Class
BG9[S-X]|China, Qing Hai (Xining City), 3rd. Class
BI0|China, Xin Jiang, IOTA Station
BI2|China, Liao Ning, IOTA Station
BI3|China, Hei Bei, IOTA Station
BI4|China, Shan Dong, IOTA Station
BI5|China, Fu Jian, IOTA Station
BI6|China, An Hui, IOTA Station
BI7|China, Guang Dong, IOTA Station
BI8|China, Si Chuan, IOTA Station
BI9|China, Qhaan Xi, IOTA Station
BI0[A-F]|China, Xin Jiang (Urumqi City), Special Station
BI0[G-L]|China, Xi Zang (Tibet - Lhasa City), Special Station
BI1|China, Beijing, IOTA Station
BI2[A-H]|China, Hei Long Jiang (Harbin City), IOTA Station
BI2[I-P]|China, Ji Lin (Changchun City), IOTA Station
BI2[Q-X]|China, Liao Ning (Shenyang City), IOTA Station
BI3[A-F]|China, Tian Jin (Tian Jin City), IOTA Station
BI3[G-L]|China, Nei Mongol (Hobbot City), IOTA Station
BI3[M-R]|China, Hei Bei (Shijiazhuang City), IOTA Station
BI3[S-X]|China, Shan Xi (Taiyuan City), IOTA Station
BI4[A-H]|China, Shang Hai (Shang Hai City), IOTA Station
BI4[I-P]|China, Shan Dong (Jinan City), IOTA Station
BI4[Q-X]|China, Jiang Su (Nanjing City), IOTA Station
BI5[A-H]|China, Zhe Jiang (Hangzhou City), IOTA Station
BI5[I-P]|China, Jiang Xi (Nanchang City), IOTA Station
BI5[Q-X]|China, Fu Jian (Fuzhou City), IOTA Station
BI6[A-H]|China, An Hui (Hefei City), IOTA Station
BI6[I-P]|China, He Nan (Zhengzhou City), IOTA Station
BI6[Q-X]|China, Hu Bei (Wuhan City), IOTA Station
BI7[A-H]|China, Hu Nan (Changsha City), IOTA Station
BI7[I-P]|China, Guang Dong (Canton City), IOTA Station
BI7[Q-X]|China, Guang Xi (Nanning City), IOTA Station
BI7[Y-Z]|China, Hei Nan (Haikou City) IOTA Station
BI8[A-F]|China, Si Chuan (Chengdu City), IOTA Station
BI8[G-L]|China, Chong Qing (Chong Qing City), IOTA Station
BI8[M-R]|China, Gui Zhou (Guiyang City), IOTA Station
BI8[S-X]|China, Yun Nan (Kunming City), IOTA Station
BI9[A-F]|China, Qhaan Xi (Xian City), IOTA Station
BI9[G-L]|China, Gan Su (Lanzhou City), IOTA Station
BI9[M-R]|China, Ning Xia (Yinchuan City), IOTA Station
BI9[S-X]|China, Qing Hai (Xining City), IOTA Station
BT0[A-F]|China, Xin Jiang (Urumqi City), Special event Station
BT0[G-L]|China, Xi Zang (Tibet - Lhasa City), Special event Station
BT1|China, Beijing, Special event Station
BT2[A-H]|China, Hei Long Jiang (Harbin City), Special event Station
BT2[I-P]|China, Ji Lin (Changchun City), Special event Station
BT2[Q-X]|China, Liao Ning (Shenyang City), Special event Station
BT3[A-F]|China, Tian Jin (Tian Jin City), Special event Station
BT3[G-L]|China, Nei Mongol (Hobbot City), Special event Station
BT3[M-R]|China, Hei Bei (Shijiazhuang City), Special event Station
BT3[S-X]|China, Shan Xi (Taiyuan City), Special event Station
BT4[A-H]|China, Shang Hai (Shang Hai City), Special event Station
BT4[I-P]|China, Shan Dong (Jinan City), Special event Station
BT4[Q-X]|China, Jiang Su (Nanjing City), Special event Station
BT5[A-H]|China, Zhe Jiang (Hangzhou City), Special event Station
BT5[I-P]|China, Jiang Xi (Nanchang City), Special event Station
BT5[Q-X]|China, Fu Jian (Fuzhou City), Special event Station
BT6[A-H]|China, An Hui (Hefei City), Special event Station
BT6[I-P]|China, He Nan (Zhengzhou City), Special event Station
BT6[Q-X]|China, Hu Bei (Wuhan City), Special event Station
BT7[A-H]|China, Hu Nan (Changsha City), Special event Station
BT7[I-P]|China, Guang Dong (Canton City), Special event Station
BT7[Q-X]|China, Guang Xi (Nanning City), Special event Station
BT7[Y-Z]|China, Hei Nan (Haikou City), Special event Station
BT8[A-F]|China, Si Chuan (Chengdu City), Special event Station
BT8[G-L]|China, Chong Qing (Chong Qing City), Special event Station
BT8[M-R]|China, Gui Zhou (Guiyang City), Special event Station
BT8[S-X]|China, Yun Nan (Kunming City), Special event Station
BT9[A-F]|China, Qhaan Xi (Xian City), Special event Station
BT9[G-L]|China, Gan Su (Lanzhou City), Special event Station
BT9[M-R]|China, Ning Xia (Yinchuan City), Special event Station
BT9[S-X]|China, Qing Hai (Xining City), Special event Station
BY0[A-F]|China, Xin Jiang (Urumqi City), Club Station
BY0[G-L]|China, Xi Zang (Tibet - Lhasa City), Club Station
BY1|China, Beijing, Club Station
BY2[A-H]|China, Hei Long Jiang (Harbin City), Club Station
BY2[I-P]|China, Ji Lin (Changchun City), Club Station
BY2[Q-X]|China, Liao Ning (Shenyang City), Club Station
BY3[A-F]|China, Tian Jin (Tian Jin City), Club Station
BY3[G-L]|China, Nei Mongol (Hobbot City), Club Station
BY3[M-R]|China, Hei Bei (Shijiazhuang City), Club Station
BY3[S-X]|China, Shan Xi (Taiyuan City), Club Station
BY4[A-H]|China, Shang Hai (Shang Hai City), Club Station
BY4[I-P]|China, Shan Dong (Jinan City), Club Station
BY4[Q-X]|China, Jiang Su (Nanjing City), Club Station
BY5[A-H]|China, Zhe Jiang (Hangzhou City), Club Station
BY5[I-P]|China, Jiang Xi (Nanchang City), Club Station
BY5[Q-X]|China, Fu Jian (Fuzhou City), Club Station
BY6[A-H]|China, An Hui (Hefei City), Club Station
BY6[I-P]|China, He Nan (Zhengzhou City), Club Station
BY6[Q-X]|China, Hu Bei (Wuhan City), Club Station
BY7[A-H]|China, Hu Nan (Changsha City), Club Station
BY7[I-P]|China, Guang Dong (Canton City), Club Station
BY7[Q-X]|China, Guang Xi (Nanning City), Club Station
BY7[Y-Z]|China, Hei Nan (Haikou City), Club Station
BY8[A-F]|China, Si Chuan (Chengdu City), Club Station
BY8[G-L]|China, Chong Qing (Chong Qing City), Club Station
BY8[M-R]|China, Gui Zhou (Guiyang City), Club Station
BY8[S-X]|China, Yun Nan (Kunming City), Club Station
BY9[A-F]|China, Qhaan Xi (Xian City), Club Station
BY9[G-L]|China, Gan Su (Lanzhou City), Club Station
